Ingredient,Calories/Serving,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Total Sugar (g),Added Sugar (g)
1 Egg (large) ,75,5,1.6,0,195,65,1,0,0
"1 Milk (cup, whole) ",148,8,4.6,0,24,32.2,12,12,0
1 Butter (tbs),102,12,7,0.5,31,2,0,0,0
"1 Yogurt (cup, plain, whole milk) ",150,0.98,0.25,0,12,88,9,8,0
1 Banana (medium) ,105,0.4,0.1,0,0,1,27,14,0
"1 Applesauce (cup, unsweetened) ",103,0.2,0,0,0,5,27,23,0
1 Silken Tofu (cup),188,12,1.8,0,0,18,4.6,0,0
1 Sour Cream (tbs) ,23,2.4,1.4,0,6,10,0.3,0.3,0
1 Buttermilk (cup) ,99,2.2,1.3,0,10,257,12,12,0
1 Half and Half (tbs) ,20,1.75,1,0,7.5,12.5,0.5,1,0
holder,holder,holder,holder,holder,holder,holder,holder,holder,holder
